SKU,Cost (c),Lead time (t),Demand rate (m),New d. rates (m),demand 1,demand 2,demand 3,demand 4,demand 5,demand 6,demand 7,demand 8,demand 9,demand 10,demand 11,demand 12,demand 13,demand 14,demand 15,demand 16,demand 17,demand 18,demand 19,demand 20,demand 21,demand 22,demand 23,demand 24,demand 25,demand 26,demand 27,demand 28,demand 29,demand 30,demand 31,demand 32,demand 33,demand 34,demand 35,demand 36
17,500,0.1,21,22.583333333333332,20,23,25,21,25,24,24,20,21,23,25,26,19,22,21,20,24,23,23,25,17,29,20,24,23,18,30,21,22,18,23,20,26,24,20,24
18,2700,0.3,5,6.805555555555555,9,2,13,4,7,5,6,7,2,7,8,8,0,4,4,11,12,5,2,7,5,7,3,16,10,4,7,7,12,11,5,5,5,8,7,10
19,650,0.1,16,17.52777777777778,14,17,20,22,12,16,19,21,22,17,11,19,16,20,22,18,15,17,20,16,16,21,21,15,23,22,20,17,14,18,15,15,21,15,13,11
20,990,0.2,12,12.5,15,14,16,17,14,12,6,6,15,13,15,16,8,17,16,11,14,17,9,16,7,8,12,11,15,14,14,16,4,10,15,13,6,13,7,18
21,9700,1.1,2,3.2777777777777777,4,3,7,2,4,3,4,4,4,5,6,0,4,2,6,6,1,4,0,2,3,2,2,8,2,1,3,3,4,3,1,1,2,3,6,3
22,9100,1.0,2,3.4166666666666665,4,7,4,2,4,5,4,7,6,2,1,3,6,0,5,3,3,2,1,4,3,4,2,4,4,2,6,5,1,2,2,4,4,2,1,4
23,690,0.1,16,17.27777777777778,21,24,17,20,10,11,14,17,15,19,22,11,18,21,23,17,16,19,17,25,20,12,17,12,14,18,23,16,17,17,11,18,18,16,21,15
24,9600,1.0,2,3.2222222222222223,2,2,7,4,1,4,4,5,4,0,7,1,0,4,4,0,2,0,8,7,1,5,0,4,3,1,6,6,3,5,3,6,1,3,3,0
25,880,0.1,13,14.75,14,14,13,14,15,17,13,16,12,15,17,15,21,18,15,18,15,13,15,15,13,13,14,16,13,11,13,18,23,14,14,16,5,15,9,19
26,30000,3.0,2,3.0277777777777777,3,2,8,0,5,3,5,5,4,3,2,0,1,2,2,5,4,7,4,3,2,4,1,3,5,4,0,2,0,5,2,1,2,4,1,5
27,7000,0.7,3,3.388888888888889,10,7,0,5,6,2,1,2,7,7,4,2,3,4,3,1,2,5,2,4,5,4,1,4,1,1,5,7,5,3,2,0,5,1,1,0
28,100,0.1,76,77.47222222222223,70,80,78,78,75,88,88,87,67,81,79,78,82,89,79,75,78,73,71,61,73,75,77,71,81,66,74,86,84,88,84,70,76,71,79,77
29,15000,1.5,2,2.8055555555555554,2,2,3,2,8,2,2,3,3,4,2,4,2,5,2,1,3,4,2,4,2,2,2,1,4,0,2,7,5,3,2,1,2,5,3,0
30,970,0.2,11,11.86111111111111,12,12,11,13,11,6,9,7,14,6,17,11,11,14,14,5,10,13,13,11,14,15,20,10,16,8,8,9,21,9,14,12,11,16,12,12
31,32000,3.3,1,2.9444444444444446,2,1,4,2,0,2,4,7,2,3,4,2,2,3,1,4,3,0,5,2,8,6,2,3,3,8,2,5,1,3,1,1,1,3,4,2
32,8000,0.8,3,4.333333333333333,4,4,6,5,0,1,8,9,3,4,8,2,6,4,8,2,4,2,4,0,5,4,7,2,5,3,4,3,6,6,3,9,4,7,2,2
33,280,0.1,37,37.138888888888886,36,31,39,39,47,43,38,32,35,52,38,38,40,34,29,41,35,36,45,31,34,32,41,44,39,23,37,39,39,29,37,35,41,38,41,29
34,260,0.1,40,41.138888888888886,40,38,45,40,42,38,48,44,41,37,39,38,40,44,43,40,37,44,44,40,44,43,34,40,36,41,44,38,41,44,37,44,51,42,42,38
35,16000,1.6,1,2.388888888888889,3,4,7,6,1,4,2,2,1,3,1,1,1,3,1,0,4,2,1,1,0,1,5,2,2,3,3,3,3,3,2,4,3,1,2,1
36,6000,0.7,3,4.527777777777778,4,4,8,2,4,7,8,2,8,4,1,5,7,4,7,2,4,8,4,2,5,8,5,4,3,7,3,2,6,3,3,5,1,4,6,3
37,370,0.1,28,29.13888888888889,24,29,35,29,28,28,36,30,27,32,27,30,29,29,28,26,29,30,37,28,33,21,28,31,22,31,28,27,29,30,33,25,30,31,30,29
38,27000,2.7,1,2.75,3,8,0,3,4,2,0,1,1,2,1,3,3,2,7,3,4,1,5,2,5,3,1,2,1,1,2,7,1,1,2,6,1,6,4,1
39,59200,6.0,2,3.3333333333333335,4,4,1,2,7,5,8,4,4,2,2,1,2,8,2,1,4,4,2,8,2,3,2,1,1,4,5,1,6,2,3,2,5,0,1,7
40,680,0.1,15,17.36111111111111,14,17,25,18,17,23,18,15,17,17,24,15,18,21,14,18,20,21,17,22,14,15,18,22,15,13,9,13,18,17,17,22,16,19,13,13
41,37000,3.7,1,2.9444444444444446,2,3,4,7,4,1,1,9,4,2,0,3,3,2,0,4,4,1,3,5,0,2,4,2,8,4,1,3,1,2,2,6,2,1,2,4
42,19000,1.9,2,3.8333333333333335,8,2,1,2,1,0,3,4,0,9,2,4,4,4,6,2,1,3,5,3,4,4,3,3,4,2,6,10,5,7,1,7,5,5,3,5
43,550,0.1,19,19.694444444444443,23,25,18,16,20,18,15,11,24,21,17,18,20,25,20,22,23,19,20,16,18,25,18,21,14,20,17,20,18,18,22,24,20,17,23,23
44,9900,1.0,2,3.75,0,7,4,2,3,9,2,1,3,1,10,5,5,4,2,2,3,5,1,1,0,9,3,4,1,7,1,4,2,5,10,4,2,8,3,2
45,44000,4.5,1,3.138888888888889,2,3,1,3,3,4,3,3,2,4,2,2,0,4,2,3,5,6,6,9,3,6,3,5,3,6,2,1,2,1,2,0,2,3,7,0
46,610,0.1,18,19.083333333333332,18,23,20,13,27,20,15,20,19,16,19,20,19,19,22,19,20,27,22,17,21,10,19,25,23,16,17,19,19,14,21,9,24,18,15,22
47,26000,2.7,2,2.9722222222222223,4,8,4,8,1,3,2,2,5,2,1,3,2,2,1,3,3,4,5,5,5,2,1,2,3,1,2,0,0,7,2,3,4,3,2,2
48,820,0.2,13,13.583333333333334,21,11,22,16,13,16,11,15,14,11,18,9,19,10,16,5,12,16,22,13,11,15,13,19,10,7,9,11,11,13,13,9,21,13,14,10
49,810,0.1,14,15.027777777777779,16,15,19,18,14,20,17,18,21,17,16,14,6,19,15,14,11,15,21,19,15,14,9,14,15,21,12,9,16,8,16,18,15,4,15,15
50,6700,0.7,3,3.75,5,6,3,2,4,1,6,6,2,5,5,3,5,1,2,3,4,9,6,4,6,0,2,5,4,2,4,2,10,4,0,2,4,4,4,0
